timestamp,temperature,humidity,load_lag_t+1,load_lag_t+2,load_lag_t+3,load_lag_t+4,load_lag_t+5,load_lag_t+6,load_lag_t+7,load_lag_t+8,load_lag_t+9,load_lag_t+10,load_lag_t+11,load_lag_t+12,load_lag_t+13,load_lag_t+14,load_lag_t+15,load_lag_t+16,load_lag_t+17,load_lag_t+18,load_lag_t+19,load_lag_t+20,load_lag_t+21,load_lag_t+22,load_lag_t+23,load_lag_t+24
2026-02-20 10:37:29.245604,25.75,47.94,1671.54,1701.13,1613.38,1401.83,1391.23,1320.02,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42
2026-02-20 11:37:29.245604,23.35,51.72,1701.13,1613.38,1401.83,1391.23,1320.02,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64
2026-02-20 12:37:29.245604,22.97,52.35,1613.38,1401.83,1391.23,1320.02,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38
2026-02-20 13:37:29.245604,22.73,52.27,1401.83,1391.23,1320.02,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25
2026-02-20 14:37:29.245604,18.65,47.97,1391.23,1320.02,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25,1279.1
2026-02-20 15:37:29.245604,17.41,50.37,1320.02,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25,1279.1,1222.18
2026-02-20 16:37:29.245604,19.17,41.16,1350.55,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25,1279.1,1222.18,1180.73
2026-02-20 17:37:29.245604,17.36,49.97,1268.28,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25,1279.1,1222.18,1180.73,1291.93
2026-02-20 18:37:29.245604,15.3,56.41,1335.7,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25,1279.1,1222.18,1180.73,1291.93,1254.35
2026-02-20 19:37:29.245604,17.02,53.03,1445.89,1427.99,1493.51,1572.93,1535.34,1799.12,1790.51,1870.81,1856.41,1973.71,2048.95,1878.4,1939.11,1715.37,1741.42,1686.64,1569.38,1409.25,1279.1,1222.18,1180.73,1291.93,1254.35,1206.39
